,key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time,time
9,cpu_number,1,28.2,6.2,21.0,71.8,0.3,0.1,0.0,0.7,0.0,0.0,0.0,2:1667130469.1774063,1667130469
10,cpu_number,2,13.6,6.2,6.8,86.4,0.4,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130469.1774063,1667130469
11,cpu_number,3,7.1,3.9,2.7,92.9,0.2,0.0,0.0,0.3,0.0,0.0,0.0,2:1667130469.1774063,1667130469
12,cpu_number,4,17.1,6.3,10.5,82.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2:1667130469.1774063,1667130469
13,cpu_number,5,10.3,4.7,5.4,89.7,0.1,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130469.1774063,1667130469
14,cpu_number,6,14.5,4.3,9.2,85.5,0.8,0.1,0.0,0.0,0.0,0.0,0.0,2:1667130469.1774063,1667130469
15,cpu_number,7,10.9,2.6,3.0,89.1,5.1,0.1,0.0,0.0,0.0,0.0,0.0,2:1667130469.1774063,1667130469
16,cpu_number,0,17.2,3.5,2.2,82.8,0.0,0.0,0.0,11.6,0.0,0.0,0.0,3:1667130489.4762034,1667130489
17,cpu_number,1,32.1,7.1,23.8,67.9,0.0,0.0,0.0,1.2,0.0,0.0,0.0,3:1667130489.4762034,1667130489
18,cpu_number,2,9.4,2.8,5.7,90.6,0.0,0.0,0.0,0.9,0.0,0.0,0.0,3:1667130489.4762034,1667130489
19,cpu_number,3,22.2,6.4,15.5,77.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3:1667130489.4762034,1667130489
20,cpu_number,4,20.9,7.0,13.7,79.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,3:1667130489.4762034,1667130489
21,cpu_number,5,8.8,3.7,4.9,91.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,3:1667130489.4762034,1667130489
22,cpu_number,6,20.8,6.5,14.2,79.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3:1667130489.4762034,1667130489
23,cpu_number,7,20.1,5.9,14.1,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130489.4762034,1667130489
0,cpu_number,0,15.0,1.4,6.4,85.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,1:1667130509.747812,1667130509
1,cpu_number,1,6.3,1.3,3.5,93.7,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1:1667130509.747812,1667130509
2,cpu_number,2,13.1,3.4,9.4,86.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1:1667130509.747812,1667130509
3,cpu_number,3,6.0,2.7,3.3,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130509.747812,1667130509
4,cpu_number,4,9.8,1.9,7.6,90.2,0.0,0.1,0.0,0.2,0.0,0.0,0.0,1:1667130509.747812,1667130509
5,cpu_number,5,3.8,1.9,1.8,96.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130509.747812,1667130509
6,cpu_number,6,8.7,1.6,7.0,91.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1:1667130509.747812,1667130509
7,cpu_number,7,8.0,2.2,5.8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130509.747812,1667130509
8,cpu_number,0,22.2,7.5,5.2,77.8,0.0,1.5,0.0,8.0,0.0,0.0,0.0,2:1667130530.0926418,1667130530
9,cpu_number,1,24.7,9.5,5.5,75.3,0.0,7.3,0.0,2.4,0.0,0.0,0.0,2:1667130530.0926418,1667130530
10,cpu_number,2,14.0,7.3,3.9,86.0,0.0,1.7,0.0,1.1,0.0,0.0,0.0,2:1667130530.0926418,1667130530
11,cpu_number,3,6.9,3.8,2.5,93.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2:1667130530.0926418,1667130530
12,cpu_number,4,13.7,9.3,3.2,86.3,0.0,1.0,0.0,0.2,0.0,0.0,0.0,2:1667130530.0926418,1667130530
13,cpu_number,5,7.9,4.1,3.5,92.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2:1667130530.0926418,1667130530
14,cpu_number,6,12.9,7.5,3.7,87.1,0.0,1.6,0.0,0.1,0.0,0.0,0.0,2:1667130530.0926418,1667130530
